samples;2-Aminobutyrate;2-Hydroxybutyrate;2-Hydroxyisovalerate;2-Oxoisocaproate;3-Hydroxybutyrate;3-Hydroxyisobutyrate;3-Methyl-2-oxovalerate;Acetaminophen;Acetate;Acetone;Alanine;Aspartate;Betaine;Choline;Citrate;Creatine;Creatinine;Cysteine;Dimethyl sulfone;Fructose;Fumarate;Glucose;Glutamate;Glutamine;Glycerol;Glycine;Hippurate;Histidine;Homocysteine;Hypoxanthine;Inosine;Isobutyrate;Isoleucine;Isopropanol;Isovalerate;Lactate;Leucine;Lysine;Methanol;Methionine;Methylguanidine;Methylmalonate;Methylsuccinate;O-Acetylcarnitine;O-Phosphocholine;Ornithine;Phenylalanine;Proline;Propylene glycol;Sarcosine;Serine;Succinate;Threonine;Tryptophan;Tyrosine;Urea;Valine;myo-Inositol;pi-Methylhistidine;Methylhistidine
90010101;0,0025;0,0103;0,0034;0,0033;0,0576;0;0,0028;0,0017;0,046;0,0087;0,0843;0,0073;0,0057;0,0018;0,0366;0,007;0,0063;0,0048;0,0007;0,0019;0,0098;1,2452;0,1154;0,0567;0,4587;0,0531;0;0,0024;0,0058;0,0013;0,0019;0,0023;0,0121;0,0041;0,0023;0,2913;0,0243;0,0415;0,0631;0,0013;0,0026;0,002;0;0,0018;0,0077;0,0163;0,0115;0,1761;0,0306;0,0046;0,0187;0,0017;0,0451;0,006;0,011;0,4454;0,0508;0,0043;0,003;0,0147
90010401;0,0025;0,0111;0,0055;0,0015;0,0395;0,0007;0,001;0;0,0599;0,0078;0,1612;0,1043;0,0064;0,061;0,0282;0,002;0,0099;0,0282;0,0005;0,0029;0,0049;1,4281;0,2485;0,0298;0,4236;0,1052;0;0,0004;0,0104;0,0013;0,0005;0,0043;0,0271;0,0067;0,0023;0,2075;0,1787;0,1322;0,0957;0,0009;0,0013;0,002;0,001;0,0018;0,0189;0,0276;0,0483;0,1557;0,0464;0,0158;0,1095;0,0047;0,1086;0,0274;0,0554;0,7253;0,1241;0,0042;0,0004;0,0226
90010501;0,0025;0,0217;0,0054;0,0008;0,0161;0,0029;0,0055;0;0,0928;0,0048;0,2474;0,0723;0,0057;0,0688;0,0302;0,0104;0,0134;0,027;0,0006;0,0015;0,0065;2,2648;0,2305;0,0232;0,369;0,1121;0,0001;0,0012;0,0198;0,001;0,0005;0,0055;0,0269;0,0058;0,0088;0,9635;0,1349;0,1996;0,1109;0,0015;0,0022;0,002;0,005;0,0018;0,0262;0,0163;0,0356;0,2346;0,0096;0,0145;0,033;0,0088;0,0889;0,0504;0,1151;0,5221;0,1075;0,015;0,0003;0,0302
90010601;0,0032;0,0059;0,0014;0,0021;0,0182;0,0008;0,0036;0,0022;0,0387;0,0034;0,1013;0,0103;0,0055;0,0018;0,0253;0,005;0,0096;0,0169;0,0014;0,0021;0,0098;1,7345;0,1527;0,0178;0,3282;0,0706;0,0001;0,001;0,0063;0,0014;0,0029;0,0022;0,0098;0,0044;0,0022;0,3672;0,0193;0,0263;0,051;0,0011;0,0013;0,002;0,0004;0,0018;0,0008;0,0103;0,0136;0,1091;0,0219;0,0001;0,0216;0,0017;0,0188;0,0071;0,006;0,2787;0,0395;0,002;0,0006;0,002
90010701;0,0036;0,0103;0,0034;0,0032;0,0093;0,0006;0,0038;0,0006;0,0309;0,0023;0,1212;0,0014;0,0067;0,0018;0,0236;0,0052;0,0104;0,0097;0,0009;0,0059;0,0098;1,5289;0,143;0,0323;0,4971;0,0792;0,0001;0,0023;0,0093;0,001;0,0006;0,0019;0,0121;0,0043;0,0016;0,4001;0,0235;0,035;0,0678;0,003;0,0017;0,0029;0,001;0,0011;0,0069;0,0126;0,0229;0,2025;0,0313;0,0019;0,0367;0,0016;0,0403;0,0089;0,0118;0,367;0,042;0,0054;0,0327;0,017
90010801;0,0025;0,0082;0,0013;0,002;0,0094;0,0007;0,0033;0;0,0322;0,0033;0,1102;0,0091;0,0046;0,0018;0,0091;0,0049;0,0044;0,0211;0,0015;0,0059;0,0079;1,545;0,1324;0,0773;0,4587;0,044;0;0,0001;0,0036;0,0008;0,0019;0,0021;0,0103;0,0041;0,0009;0,2676;0,0111;0,0223;0,045;0,0019;0,0023;0,002;0,0018;0;0,0096;0,0049;0,0062;0,0998;0,0181;0,0026;0,0325;0,0024;0,0308;0,0127;0,0076;0,4192;0,0286;0,0041;0,0007;0,0095
90010901;0,0026;0,0058;0,0027;0,0023;0,0326;0,0004;0,0025;0,0003;0,0333;0,005;0,0459;0,0018;0,0071;0,0018;0,0304;0,0135;0,0078;0,01;0,0027;0,0028;0,0068;1,0452;0,0487;0,0677;0,2766;0,0467;0;0,0008;0,007;0,0011;0,0003;0,0017;0,0083;0,0027;0,0014;0,156;0,0167;0,0207;0,0309;0,0033;0,0004;0,002;0,0012;0,0018;0,0021;0,0149;0,0154;0,1129;0,0144;0,0009;0,0244;0,0009;0,0327;0,009;0,0279;0,7979;0,036;0,0068;0;0,0077
90011001;0,0025;0,006;0,0015;0,0021;0,0132;0,0009;0,0016;0,0031;0,046;0,0036;0,0356;0;0,0103;0,004;0,0171;0,0125;0,0054;0,0189;0,003;0,0044;0,0057;0,9519;0,0867;0,034;0,4695;0,0095;0,0005;0,0025;0;0,0005;0,0025;0,0014;0,0071;0,0041;0,0008;0,1796;0,0127;0,022;0,0412;0,0003;0,0025;0,0014;0;0,0016;0,0018;0,0098;0,0089;0,1011;0,0189;0,0046;0,0276;0,001;0,0203;0,018;0,0087;0,6619;0,0286;0;0;0,0085
90011301;0,0025;0,0074;0,0023;0,0027;0,0092;0,0008;0,004;0,0007;0,0291;0,0025;0,0297;0;0,0081;0,0018;0,0166;0,0129;0,0089;0,0079;0,0009;0;0,0045;1,0533;0,0451;0,0672;0,3769;0,0269;0,0007;0,0006;0,0084;0,0013;0,0015;0,0014;0,008;0,0003;0,0012;0,1389;0,0171;0,0253;0,0054;0,0021;0,0003;0,002;0;0,0006;0,0042;0,0148;0,0301;0,1023;0,0018;0,0009;0,0211;0,0007;0,027;0,0078;0,0136;0,5234;0,0391;0,005;0,0015;0,0093
90011401;0,0025;0,0045;0,002;0,0023;0,0033;0,0008;0,0056;0,0011;0,0267;0,0013;0,0587;0;0,0098;0,0018;0,0307;0,0146;0,0081;0,0053;0,0003;0,0044;0,0047;1,036;0,0391;0,073;0,384;0,0291;0;0,0031;0,0091;0,0013;0,0034;0,001;0,0063;0,0005;0,0011;0,1268;0,0175;0,0437;0,0033;0,0067;0,0009;0,002;0,0014;0,0018;0,0103;0,0139;0,0084;0,1511;0,0002;0,0015;0,0204;0,0013;0,0855;0,0269;0,0154;0,4333;0,0363;0,006;0,0056;0,0105
90011501;0,0025;0,003;0,0025;0,0022;0,0029;0,0003;0,0047;0,0062;0,0233;0,0021;0,0528;0;0,0083;0,0016;0,0263;0,0072;0,007;0,0043;0,0013;0,001;0,0048;1,3034;0,0287;0,0729;0,301;0,0386;0,0007;0,0141;0,006;0,0013;0,0008;0,001;0,0091;0,0003;0,0013;0,2078;0,0168;0,0241;0,0193;0,0042;0,0006;0,002;0,0002;0,0018;0,0025;0,0098;0,0071;0,1061;0,0009;0,001;0,0194;0,0009;0,0557;0,0192;0,0094;0,4514;0,0346;0,0052;0,0032;0,0042
90011601;0,0025;0,0055;0,0021;0,0033;0,0036;0,001;0,0059;0,0012;0,0348;0,0012;0,0666;0;0,0111;0,0012;0,0187;0,0127;0,0039;0,0088;0,0001;0,0018;0,0057;1,4685;0,0806;0,0344;0,4482;0,063;0,0004;0,0011;0,0186;0,0008;0,0007;0,0017;0,0108;0,0005;0,0023;0,2643;0,0176;0,0273;0,0183;0,0052;0,0007;0,002;0,0014;0;0,0021;0,009;0,0152;0,0957;0,0013;0,0021;0,0253;0,0012;0,0564;0,0304;0,0136;0,7362;0,0417;0,0065;0,0004;0,0081
